trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",25,12,-12.048167111954179,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,0,-53.12954708299452,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",30,0,-15.804004771311366,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,0,-68.14746465100313,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,11,10.357468720435579,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",25,0,-35.50381694491607,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",25,16,14.715639346120756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",35,21,15.825331181148314,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,0,8.81184795427097,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",20,0,-35.33902495468609,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,2,13.594595978731107,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,0,-26.997481303544696,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",25,0,-23.903437854504908,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",30,12,-35.858959412100795,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",25,14,-7.800047234619764,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",25,14,9.220628955033682,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.8763409950793734, 'e': 0.2671353019658504}",20,0,-18.210925003705597,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",30,19,7.041048693218414,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",25,19,9.170860475631942,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",20,5,25.197652121982028,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",25,11,-41.926201475674894,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",20,0,-26.38553328863553,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",20,12,15.964749732923787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8702280284582516, 'e': 0.2490753046316682}",20,5,10.381102586521566,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",30,17,-28.77192453264648,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",25,11,-3.9021821992699173,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",25,17,11.812955239641123,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",25,19,6.977965405267179,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",25,12,23.375944510019494,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",30,3,14.32211783052705,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",20,12,14.57439578582068,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",25,9,19.407393840854375,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",20,15,7.452645561965471,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",20,8,8.30609537780484,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",20,4,10.89529490277916,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",20,10,0.926219584378333,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",25,1,21.272871632434065,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",30,3,33.02409727984811,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",25,17,13.708630762485155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",20,0,-15.654325473397256,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",25,7,-25.14993595594701,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",35,20,3.7066617570799534,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",35,15,27.840389930327337,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",20,11,1.624156105858702,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",20,12,-5.45863955548525,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",30,10,27.889082003756204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",25,12,25.273908829448644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",30,12,18.11939159236598,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",20,11,3.1986164472562955,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,13,12.987589023032475,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",20,0,-12.362993080088891,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",30,0,16.919828908070354,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",25,14,11.598951088653628,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",20,3,20.72698879303159,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",25,13,8.567569527312777,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",25,8,11.285007128276721,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
